Title,Average_Rating,Director,Number_reviews,Release_Date,Actor1,Actor2,Genre1,Genre2
Mona Lisa Smile,3.54,Mike Newell,14346,2003,Julia Roberts,Kirsten Dunst,Romance,History
Smile,3.67,Michael Ritchie,554,1975,Bruce Dern,Barbara Feldon,Comedy,
Zardoz,3.2,John Boorman,4834,1974,Sean Connery,Charlotte Rampling,Fantasy,Science Fiction
Christmas Eve on Sesame Street,3.91,Jon Stone,530,1978,Jim Henson,Frank Oz,Music,Family
Chronicle of Anna Magdalena Bach,3.83,Jean-Marie Straub,609,1968,Gustav Leonhardt,Christiane Lang,Drama,Music
The Boys in the Band,3.84,William Friedkin,1820,1970,Kenneth Nelson,Leonard Frey,Drama,
Crimson Peak,3.33,Guillermo del Toro,34675,2015,Mia Wasikowska,Jessica Chastain,Horror,Romance
C'mon C'mon,4.13,Mike Mills,49124,2021,Joaquin Phoenix,Woody Norman,Drama,
Fantômas: The False Magistrate,3.54,Louis Feuillade,135,1914,René Navarre,Georges Melchior,Drama,Crime
Macross: Do You Remember Love?,3.84,Shoji Kawamori,537,1984,Mari Iijima,Arihiro Hase,Action,War
The Last Wagon,3.53,Delmer Daves,128,1956,Richard Widmark,Felicia Farr,Western,
Metro Manila,3.74,Sean Ellis,511,2013,Jake Macapagal,John Arcilla,Thriller,Action
Short Circuit,3.2,John Badham,1974,1986,Ally Sheedy,Steve Guttenberg,Comedy,Science Fiction
Flash Gordon,3.3,Frederick Stephani,147,1936,Buster Crabbe,Jean Rogers,Adventure,Action
I Don't Want to Sleep Alone,3.81,Tsai Ming-liang,740,2006,Lee Kang-sheng,Norman Atun,Drama,Romance
Bamboozled,3.78,Spike Lee,4760,2000,Damon Wayans,Savion Glover,Comedy,Drama
Chasing Two Hares,3.59,Viktor Ivanov,33,1961,Oleg Borisov,Margarita Krinitsyna,Comedy,
Waves,3.84,Trey Edward Shults,44251,2019,Kelvin Harrison Jr.,Taylor Russell,Romance,Drama
Violette Nozière,3.63,Claude Chabrol,193,1978,Isabelle Huppert,Stéphane Audran,Crime,Thriller
Dragon Ball Z: Fusion Reborn,3.57,Shigeyasu Yamauchi,1295,1995,Masako Nozawa,Ryou Horikawa,Animation,Action
Uriyadi,3.55,Vijay Kumar,178,2016,Vijay Kumar,Chandru,Action,Thriller
The Little World of Don Camillo,3.72,Julien Duvivier,131,1952,Fernandel,Gino Cervi,Comedy,
The Score,3.2,Frank Oz,2512,2001,Robert De Niro,Edward Norton,Action,Thriller
Robot Chicken: Star Wars Episode III,3.61,Chris McKay,227,2010,Seth Green,Abraham Benrubi,Science Fiction,Action
The Runaways,3.33,Floria Sigismondi,6519,2010,Kristen Stewart,Dakota Fanning,Music,Drama
6ixtynin9,3.68,Pen-Ek Ratanaruang,260,1999,Lalita Panyopas,Black Phomtong,Thriller,Crime
Dave,3.4,Ivan Reitman,2792,1993,Kevin Kline,Sigourney Weaver,Comedy,
The Sky Is Pink,3.6,Shonali Bose,589,2019,Priyanka Chopra Jonas,Zaira Wasim,Drama,Comedy
Great Expectations,3.16,Alfonso Cuarón,2401,1998,Ethan Hawke,Gwyneth Paltrow,Romance,Comedy
And the Band Played On,3.56,Roger Spottiswoode,523,1993,Matthew Modine,Alan Alda,TV Movie,Drama
Love and Honor,3.81,Yoji Yamada,139,2006,Takuya Kimura,Rei Dan,Romance,Drama
Welcome to Dongmakgol,3.65,Bae Jong,334,2005,Jung Jae-young,Shin Ha-kyun,War,Drama
Rajamanikyam,3.51,Anwar Rasheed,48,2005,Mammootty,Rahman,Comedy,Action
The Horse Thief,3.72,Tian Zhuangzhuang,335,1986,Rigzin Tseshang,Jiji Dan,Drama,
Black Mass,3.08,Scott Cooper,6432,2015,Johnny Depp,Joel Edgerton,History,Drama
"Don't Worry, I'm Fine",3.52,Philippe Lioret,300,2006,Mélanie Laurent,Kad Merad,Drama,
Sufna,3.38,Jagdeep Sidhu,51,2020,Ammy Virk,Tania,Romance,Drama
The Mass Is Ended,3.73,Nanni Moretti,211,1985,Nanni Moretti,Ferruccio De Ceresa,Comedy,Drama
Eagle Eye,2.78,D. J. Caruso,2327,2008,Shia LaBeouf,Michelle Monaghan,Action,Thriller
The Life and Times of Judge Roy Bean,3.46,John Huston,972,1972,Paul Newman,Victoria Principal,Comedy,Western
The Battle of Chile: Part II,4.25,Patricio Guzmán,406,1976,Abilio Fernández,Salvador Allende,Documentary,
It's Complicated,3.03,Nancy Meyers,8643,2009,Meryl Streep,Steve Martin,Romance,Comedy
"So Long, My Son",4.1,Wang Xiaoshuai,1675,2019,Wang Jingchun,Yong Mei,Drama,
Last Hurrah for Chivalry,3.66,John Woo,1012,1979,Damian Lau,Wai Pak,Drama,Action
California Split,3.9,Robert Altman,7436,1974,George Segal,Elliott Gould,Comedy,Drama
Mersal,3.1,Atlee,430,2017,Vijay,S. J. Suryah,Action,Thriller
Kick-Ass 2,2.72,Jeff Wadlow,11892,2013,Aaron Taylor-Johnson,Chloë Grace Moretz,Action,Crime
The Sign of Four,3.53,Peter Hammond,108,1987,Jeremy Brett,Edward Hardwicke,Adventure,Mystery
Two Rode Together,3.52,John Ford,517,1961,James Stewart,Richard Widmark,Western,
The Dictator,2.82,Larry Charles,14616,2012,Sacha Baron Cohen,Ben Kingsley,Comedy,
83,3.39,Kabir Khan,1948,2021,Ranveer Singh,Pankaj Tripathi,Drama,History
Lilith,3.49,Robert Rossen,337,1964,Warren Beatty,Jean Seberg,Drama,Thriller
Cover Girl,3.38,Charles Vidor,1086,1944,Rita Hayworth,Gene Kelly,Comedy,Romance
Porky in Wackyland,3.87,Robert Clampett,336,1938,Mel Blanc,Billy Bletcher,Fantasy,Animation
Hum Aapke Hain Koun..!,3.24,Sooraj Barjatya,389,1994,Salman Khan,Madhuri Dixit,Romance,Drama
Big B,3.48,Amal Neerad,138,2007,Mammootty,Nafisa Ali,Thriller,Action
The Wackness,3.33,Jonathan Levine,668,2008,Josh Peck,Ben Kingsley,Drama,
The Expedition,3.67,Satyajit Ray,112,1962,Soumitra Chatterjee,Waheeda Rehman,Drama,
Formula of Love,3.6,Mark Zakharov,50,1984,Nodar Mgaloblishvili,Aleksandr Abdulov,Comedy,Romance
Bedtime Stories,2.7,Adam Shankman,5243,2008,Adam Sandler,Keri Russell,Fantasy,Comedy
Tears of the Black Tiger,3.58,Wisit Sasanatieng,293,2000,Chartchai Ngamsan,Stella Malucchi,Action,Comedy
Dominion,4.23,Chris Delforce,1297,2018,Rooney Mara,Joaquin Phoenix,Documentary,
Indecent Proposal,2.84,Adrian Lyne,4103,1993,Robert Redford,Demi Moore,Drama,Romance
Njan Prakashan,3.44,Sathyan Anthikad,264,2018,Fahadh Faasil,Devika Sanjay,Comedy,
The Trailer Park Boys Xmas Special,3.7,Mike Clattenburg,652,2004,John Paul Tremblay,Robb Wells,TV Movie,Comedy
American Animals,3.65,Bart Layton,14633,2018,Evan Peters,Barry Keoghan,Drama,Documentary
Talk Radio,3.73,Oliver Stone,1939,1988,Eric Bogosian,Ellen Greene,Drama,
Shool,3.48,Eeshwar Nivas,81,1999,Manoj Bajpayee,Sayaji Shinde,Action,Crime
A Wedding,3.63,Robert Altman,360,1978,Desi Arnaz Jr.,Carol Burnett,Comedy,Drama
Clash of the Titans,2.39,Louis Leterrier,5046,2010,Sam Worthington,Gemma Arterton,Action,Adventure
The Sand Pebbles,3.59,Robert Wise,508,1966,Steve McQueen,Richard Attenborough,War,Drama
The Hate U Give,3.71,George Tillman Jr.,11051,2018,Amandla Stenberg,Regina Hall,Drama,Crime
Hostel,2.72,Eli Roth,16716,2005,Jay Hernandez,Derek Richardson,Horror,
C.I.D. Moosa,3.74,Johny Antony,132,2003,Dileep,Bhavana,Action,Comedy
I Don't Feel at Home in This World Anymore,3.42,Macon Blair,12603,2017,Melanie Lynskey,Elijah Wood,Thriller,Comedy
The Nutty Professor,2.54,Tom Shadyac,2847,1996,Eddie Murphy,Jada Pinkett Smith,Comedy,Science Fiction
16 Vayathinile,3.61,Bharathiraja,67,1977,Sridevi,Kamal Haasan,Drama,Romance
Blackboards,3.48,Samira Makhmalbaf,151,2000,Said Mohamadi,Behnaz Jafari,History,Drama
The Titfield Thunderbolt,3.44,Charles Crichton,282,1953,Stanley Holloway,George Relph,Comedy,
The Little Apartment,3.5,Marco Ferreri,80,1958,José Luis López Vázquez,Mary Carrillo,Comedy,
Patriots Day,3.45,Peter Berg,5733,2016,Mark Wahlberg,John Goodman,Crime,History
Metastases,3.61,Branko Schmidt,78,2009,Rene Bitorajac,Franjo Dijak,Drama,Crime
Blue Jay,3.79,Alexandre Lehmann,10776,2016,Mark Duplass,Sarah Paulson,Drama,Romance
Mayakkam Enna,3.6,Selvaraghavan,362,2011,Dhanush,Richa Gangopadhyay,Family,Drama
Caramel,3.72,Nadine Labaki,1448,2007,Nadine Labaki,Yasmine Al Massri,Comedy,Romance
Longtime Companion,3.62,Norman René,262,1989,Bruce Davison,Campbell Scott,Drama,Romance
Stree,3.23,Amar Kaushik,726,2018,Rajkummar Rao,Shraddha Kapoor,Horror,Comedy
"Ronia, the Robber's Daughter",3.68,Tage Danielsson,246,1984,Hanna Zetterberg,Dan Håfström,Family,Drama
Elizabeth: The Golden Age,3.26,Shekhar Kapur,1752,2007,Cate Blanchett,Clive Owen,Drama,Romance
On Borrowed Time,3.49,Harold S. Bucquet,93,1939,Lionel Barrymore,Cedric Hardwicke,Comedy,Fantasy
City of Women,3.65,Federico Fellini,1220,1980,Marcello Mastroianni,Anna Prucnal,Comedy,Fantasy
Tanhaji: The Unsung Warrior,2.97,Om Raut,267,2020,Ajay Devgn,Kajol,Drama,History
The Union: The Business Behind Getting High,3.66,Brett Harvey,60,2007,George H. W. Bush,George W. Bush,Comedy,Documentary
Hot Tub Time Machine,2.78,Steve Pink,9133,2010,John Cusack,Craig Robinson,Comedy,Adventure
Tristan & Isolde,2.91,Kevin Reynolds,560,2006,James Franco,Sophia Myles,Romance,Drama
Three Little Pigs,3.52,Burt Gillett,1222,1933,Billy Bletcher,Pinto Colvig,Music,Animation
Road to Ninja: Naruto the Movie,3.37,Hayato Date,747,2012,Junko Takeuchi,Chie Nakamura,Action,Fantasy
Step Up,3,Anne Fletcher,7688,2006,Channing Tatum,Jenna Dewan,Romance,Crime
Waar,3.04,Bilal Lashari,34,2013,Shaan Shahid,Ayesha Khan,Thriller,Action
Chinthavishtayaya Shyamala,3.53,Sreenivasan,7,1998,Sreenivasan,Sangita,Comedy,Drama
Monster House,3.34,Gil Kenan,27404,2006,Mitchel Musso,Sam Lerner,Animation,Comedy
Starbuck,3.48,Ken Scott,455,2011,Patrick Huard,Julie Le Breton,Comedy,
Lisbela and the Prisoner,3.91,Guel Arraes,2215,2003,Selton Mello,Débora Falabella,Romance,Comedy
Boys Don't Cry,3.61,Olaf Lubaszenko,234,2000,Maciej Stuhr,Cezary Pazura,Comedy,
Cinema Bandi,3.51,Praveen Kandregula,458,2021,Sirivennela Yanamandhala,Sandeep Varanasi,Drama,Comedy
A Love Song for Bobby Long,3.38,Shainee Gabel,347,2004,John Travolta,Scarlett Johansson,Drama,
Thanneer Mathan Dinangal,3.47,Girish A D,194,2019,Mathew Thomas,Vineeth Sreenivasan,Comedy,Romance
Sivaji: The Boss,3.48,Shankar,584,2007,Rajinikanth,Vivek,Drama,Action
Gia,3.78,Michael Cristofer,14625,1998,Angelina Jolie,Elizabeth Mitchell,Drama,Romance
Three… Extremes,3.52,Park Chan-wook,2317,2004,Kyoko Hasegawa,Atsuro Watabe,Horror,
Fear of Fear,3.73,Rainer Werner Fassbinder,464,1975,Margit Carstensen,Ulrich Faulhaber,TV Movie,Drama
Instructions Not Included,3.52,Eugenio Derbez,3073,2013,Eugenio Derbez,Loreto Peralta,Drama,Comedy
Mississippi Mermaid,3.51,François Truffaut,898,1969,Jean-Paul Belmondo,Catherine Deneuve,Thriller,Crime
The Wife of an Important Man,3.91,Mohamed Khan,189,1987,Ahmed Zaki,Mervat Amin,Drama,
3 Deewarein,3.41,Nagesh Kukunoor,39,2003,Naseeruddin Shah,Jackie Shroff,Crime,Drama
Jesus Revolution,3.23,Jon Erwin,4816,2023,Joel Courtney,Kelsey Grammer,Drama,History
Voyage to Cythera,4.01,Theo Angelopoulos,464,1984,Manos Katrakis,Mairi Hronopoulou,Drama,
Saudi Vellakka,3.54,Tharun Moorthy,521,2022,Lukman Avaran,Binu Pappu,Drama,
The Offence,3.64,Sidney Lumet,978,1973,Sean Connery,Trevor Howard,Drama,Crime
One Hundred Steps,3.76,Marco Tullio Giordana,292,2000,Luigi Lo Cascio,Luigi Maria Burruano,History,Drama
Kings and Queen,3.77,Arnaud Desplechin,183,2004,Emmanuelle Devos,Mathieu Amalric,Drama,Romance
The King of Masks,3.67,Wu Tianming,111,1995,Zhu Xu,Chow Yam-Ying,Drama,
In Order of Disappearance,3.56,Hans Petter Moland,1427,2014,Stellan Skarsgård,Bruno Ganz,Comedy,Crime
The Art of Racing in the Rain,3.45,Simon Curtis,5598,2019,Milo Ventimiglia,Kevin Costner,Romance,Drama
Crime and Punishment,3.75,Lev Kulidzhanov,127,1970,Georgi Taratorkin,Innokentiy Smoktunovskiy,Drama,
Freddy,2.91,Shashanka Ghosh,552,2022,Kartik Aaryan,Alaya F,Thriller,Romance
Delhi Belly,3.61,Abhinay Deo,1653,2011,Imran Khan,Kunaal Roy Kapur,Action,Comedy
Aferim!,3.72,Radu Jude,495,2015,Teodor Corban,Mihai Comanoiu,Drama,History
Rocket Singh: Salesman of the Year,3.38,Shimit Amin,321,2009,Ranbir Kapoor,Sumeet Darshan Dobhal,Comedy,Drama
Lebanon,3.58,Samuel Maoz,334,2009,Oshri Cohen,Michael Moshonov,Drama,War
Ante... Sundaraniki!,3.58,Vivek Athreya,1897,2022,Nani,Nazriya Nazim Fahadh,Comedy,Romance
Kannum Kannum Kollaiyadithaal,3.3,Desingh Periyasamy,349,2020,Dulquer Salmaan,Ritu Varma,Drama,Romance
A Good Marriage,3.59,Éric Rohmer,1057,1982,Béatrice Romand,André Dussollier,Drama,Comedy
She's the Man,3.3,Andy Fickman,52724,2006,Amanda Bynes,Channing Tatum,Comedy,Romance
Ella Cinders,3.46,Alfred E. Green,103,1926,Colleen Moore,Lloyd Hughes,Romance,Comedy
The Childhood of Maxim Gorky,3.63,Mark Donskoy,68,1938,Aleksei Lyarsky,Varvara Massalitinova,Drama,
My Mother's Castle,3.81,Yves Robert,193,1990,Philippe Caubère,Nathalie Roussel,Drama,Adventure
Family Guy Presents: Stewie Griffin: The Untold Story,3.21,Pete Michels,652,2005,Seth MacFarlane,Alex Borstein,Animation,Action
The Man Who Loved Yngve,3.54,Stian Kristiansen,581,2008,Rolf Kristian Larsen,Arthur Berning,Drama,
The Old Gun,3.72,Robert Enrico,232,1975,Philippe Noiret,Romy Schneider,Drama,History
Dos tipos de cuidado,3.65,Ismael Rodríguez,336,1953,Jorge Negrete,Pedro Infante,Music,Comedy
Unda,3.51,Khalid Rahman,164,2019,Mammootty,Shine Tom Chacko,Drama,
The Tiger of Eschnapur,3.51,Fritz Lang,346,1959,Debra Paget,Paul Hubschmid,Adventure,Drama
A Hero,3.81,Asghar Farhadi,6978,2021,Amir Jadidi,Mohsen Tanabande,Drama,
Sunshine,3.57,István Szabó,197,1999,Ralph Fiennes,Rosemary Harris,Romance,War
Gulmohar,3.49,Rahul V. Chittella,721,2023,Sharmila Tagore,Manoj Bajpayee,Family,Drama
Dead Man's Letters,4.09,Konstantin Lopushansky,1359,1986,Rolan Bykov,Iosif Ryklin,Drama,Science Fiction
The Makioka Sisters,3.62,Kon Ichikawa,272,1983,Keiko Kishi,Yoshiko Sakuma,Drama,Romance
Gates of Heaven,3.85,Errol Morris,2043,1978,Lucille Billingsley,Zella Graham,Documentary,
The Inquisitor,3.8,Claude Miller,219,1981,Lino Ventura,Michel Serrault,Crime,Drama
Westward the Women,3.78,William A. Wellman,264,1951,Robert Taylor,Denise Darcel,Western,Drama
Flame & Citron,3.56,Ole Christian Madsen,408,2008,Thure Lindhardt,Mads Mikkelsen,Drama,History
A Room for Romeo Brass,3.82,Shane Meadows,355,1999,Paddy Considine,Andrew Shim,Comedy,Drama
Space Cowboys,3.04,Clint Eastwood,1620,2000,Clint Eastwood,Tommy Lee Jones,Thriller,Action
Aithe,3.52,Chandra Sekhar Yeleti,40,2003,Mohit Chadda,Shashank,Thriller,Drama
The Interview,2.93,Seth Rogen,24046,2014,James Franco,Seth Rogen,Comedy,Action
Bhale Bhale Magadivoy,3.4,Maruthi Dasari,32,2015,Nani,Lavanya Tripathi,Comedy,Romance
Shoulder Arms,3.62,Charlie Chaplin,924,1918,Edna Purviance,Charlie Chaplin,Comedy,War
Bareilly Ki Barfi,3.39,Ashwiny Iyer Tiwari,787,2017,Ayushmann Khurrana,Kriti Sanon,Romance,Comedy
Jolly LLB,3.43,Subhash Kapoor,101,2013,Arshad Warsi,Boman Irani,Comedy,Drama
Divine Intervention,3.64,Elia Suleiman,728,2002,Elia Suleiman,Manal Khader,Drama,Romance
Hallelujah,3.34,King Vidor,293,1929,Daniel L. Haynes,Nina Mae McKinney,Music,Drama
My Thoughts Are Silent,3.8,Antonio Lukich,244,2019,Andrii Lidahovskyi,Irma Vitovska,Drama,Comedy
Xala,3.45,Ousmane Sembène,686,1975,Thierno Leye,Myriam Niang,Comedy,
Head,3.57,Bob Rafelson,3222,1968,Peter Tork,Davy Jones,Music,Comedy
El Angel,3.62,Luis Ortega,4458,2018,Lorenzo Ferro,Chino Darín,Crime,Drama
The Paleface,3.14,Norman Z. McLeod,313,1948,Bob Hope,Jane Russell,Comedy,Western
The Blue Bird,3.51,Maurice Tourneur,116,1918,Tula Belle,Robin Macdougall,Fantasy,Drama
Chintu Ka Birthday,3.47,Satyanshu Singh,180,2020,Vinay Pathak,Tillotama Shome,Drama,
You and Me,3.59,Fritz Lang,343,1938,Sylvia Sidney,George Raft,Romance,Crime
Devdas,3.53,Bimal Roy,172,1955,Dilip Kumar,Vyjayanthimala,Romance,Drama
Every Man for Himself,3.54,Jean-Luc Godard,1206,1980,Isabelle Huppert,Jacques Dutronc,Drama,
Ghajini,3.5,A.R. Murugadoss,154,2005,Suriya,Asin Thottumkal,Action,Romance
Hornblower: The Frogs and the Lobsters,3.55,Andrew Grieve,90,1999,Ioan Gruffudd,Robert Lindsay,Adventure,TV Movie
Lara Croft: Tomb Raider,2.6,Simon West,6421,2001,Angelina Jolie,Iain Glen,Adventure,Action
Obvious Child,3.52,Gillian Robespierre,7968,2014,Jenny Slate,Jake Lacy,Comedy,Romance
Spite Marriage,3.23,Edward Sedgwick,818,1929,Buster Keaton,Dorothy Sebastian,Comedy,
Border Incident,3.54,Anthony Mann,307,1949,Ricardo Montalban,George Murphy,Drama,Crime
Waxworks,3.26,Paul Leni,518,1924,Emil Jannings,Conrad Veidt,Fantasy,Drama
In the White City,3.81,Alain Tanner,228,1983,Bruno Ganz,Teresa Madruga,Romance,Drama
Jolly Fellows,3.4,Grigori Aleksandrov,65,1934,Leonid Utyosov,Lyubov Orlova,Music,Comedy
Terrorism and Kebab,3.78,Sherif Arafa,212,1992,Adel Emam,Kamal Al-Shenawy,Crime,Action
Man's Castle,3.62,Frank Borzage,265,1933,Spencer Tracy,Loretta Young,Romance,Drama
Rat Race,3.06,Jerry Zucker,6420,2001,Rowan Atkinson,Lanei Chapman,Adventure,Comedy
Beautiful City,3.64,Asghar Farhadi,199,2004,Taraneh Alidoosti,Babak Ansari,Drama,
Homicide,3.63,David Mamet,1758,1991,Joe Mantegna,William H. Macy,Drama,Crime
Land of the Pharaohs,3.3,Howard Hawks,405,1955,Jack Hawkins,Joan Collins,History,Drama
Of Freaks and Men,3.62,Aleksey Balabanov,217,1998,Sergei Makovetsky,Dinara Drukarova,Drama,Comedy
Bharat Ane Nenu,3.11,Koratala Siva,161,2018,Mahesh Babu,Kiara Advani,Drama,Action
Mask,3.53,Peter Bogdanovich,968,1985,Cher,Sam Elliott,Drama,
The Time of Their Lives,3.46,Charles Barton,189,1946,Bud Abbott,Lou Costello,Comedy,Fantasy
Maps to the Stars,3.26,David Cronenberg,6574,2014,Julianne Moore,Mia Wasikowska,Drama,
The Face Behind the Mask,3.44,Robert Florey,266,1941,Peter Lorre,Evelyn Keyes,Crime,Drama
The Nightingale,3.72,Jennifer Kent,12715,2018,Aisling Franciosi,Sam Claflin,Thriller,Drama
Under the Skin of the City,3.41,Rakhshan Banietemad,34,2001,Mohammad Reza Foroutan,Golab Adine,Drama,
Jan-e-Man,3.49,Chidambaram,481,2021,Lal,Arjun Ashokan,Comedy,Drama
The Blue Gardenia,3.43,Fritz Lang,682,1953,Anne Baxter,Richard Conte,Mystery,Crime
The Sisters Brothers,3.56,Jacques Audiard,10486,2018,John C. Reilly,Joaquin Phoenix,Western,Drama
Conspiracy,3.71,Frank Pierson,1684,2001,Kenneth Branagh,Stanley Tucci,History,War
Behind the Mask: The Rise of Leslie Vernon,3.4,Scott Glosserman,5054,2006,Nathan Baesel,Angela Goethals,Comedy,Thriller
All of Me,3.3,Carl Reiner,1161,1984,Steve Martin,Lily Tomlin,Fantasy,Comedy
Stray Dogs,3.85,Tsai Ming-liang,1474,2013,Lee Kang-sheng,Lu Yi-ching,Drama,
HIT: The First Case,3.31,Sailesh Kolanu,444,2020,Vishwak Sen,Chaitanya Sagiraju,Action,Drama
Ad Astra,3.36,James Gray,53278,2019,Brad Pitt,Tommy Lee Jones,Drama,Science Fiction
Ornamental Hairpin,3.85,Hiroshi Shimizu,357,1941,Kinuyo Tanaka,Hiroko Kawasaki,Drama,Romance
Scrooge,3.61,Ronald Neame,2044,1970,Albert Finney,Alec Guinness,Fantasy,Family
The Desperate Hours,3.67,William Wyler,618,1955,Humphrey Bogart,Fredric March,Thriller,Crime
Shanghai Noon,3.03,Tom Dey,3454,2000,Jackie Chan,Owen Wilson,Western,Comedy
Mistress America,3.68,Noah Baumbach,15416,2015,Greta Gerwig,Lola Kirke,Comedy,
Rurouni Kenshin Part II: Kyoto Inferno,3.61,Keishi Otomo,927,2014,Takeru Satoh,Emi Takei,Fantasy,Adventure
Dum Laga Ke Haisha,3.39,Sharat Katariya,349,2015,Ayushmann Khurrana,Bhumi Pednekar,Drama,Romance
Garth Marenghi's Darkplace,4.39,Richard Ayoade,2270,2004,Matthew Holness,Matt Berry,Mystery,Comedy
Cruising,3.57,William Friedkin,13465,1980,Al Pacino,Paul Sorvino,Thriller,Crime
The Music of Chance,3.66,Philip Haas,284,1993,James Spader,Mandy Patinkin,Drama,
Brassed Off,3.57,Mark Herman,924,1996,Pete Postlethwaite,Tara Fitzgerald,Drama,Comedy
Just Go with It,2.96,Dennis Dugan,21016,2011,Adam Sandler,Jennifer Aniston,Comedy,Romance
Free Fall,3.32,Stephan Lacant,2025,2013,Hanno Koffler,Max Riemelt,Drama,Romance
LA 92,4.14,T.J. Martin,2347,2017,Rodney King,George H. W. Bush,History,Documentary
In Which Annie Gives It Those Ones,3.65,Pradip Krishen,78,1989,Roshan Seth,Arjun Raina,Comedy,
Nanking,3.56,Bill Guttentag,70,2007,Hugo Armstrong,Rosalind Chao,History,Documentary
Kanchenjungha,3.67,Satyajit Ray,82,1962,Chhabi Biswas,Karuna Banerjee,Drama,
My Little Loves,3.91,Jean Eustache,527,1974,Martin Loeb,Ingrid Caven,Drama,
The Love Witch,3.5,Anna Biller,38017,2016,Samantha Robinson,Gian Keys,Romance,Horror
Sheeple,3.12,Houman Seyyedi,42,2018,Navid Mohammadzadeh,Farhad Aslani,Crime,Drama
Gandhada Gudi,3.64,Amoghavarsha,71,2022,Puneeth Rajkumar,Amoghavarsha,Adventure,Documentary
Fresh,3.79,Boaz Yakin,784,1994,Sean Nelson,Giancarlo Esposito,Crime,Thriller
The Little Girl Who Lives Down the Lane,3.46,Nicolas Gessner,2903,1976,Jodie Foster,Martin Sheen,Mystery,Thriller
Kerala Varma Pazhassi Raja,3.46,T Hariharan,21,2009,Mammootty,R. Sarathkumar,War,History
The Rocket,3.41,Charles Binamé,145,2005,Roy Dupuis,Julie Le Breton,Drama,
Kanam,3.43,Shree Karthick,648,2022,Sharwanand,Ritu Varma,Science Fiction,Fantasy
Hôtel du Nord,3.7,Marcel Carné,374,1938,Annabella,Jean-Pierre Aumont,Drama,Romance
Alice Adams,3.32,George Stevens,430,1935,Katharine Hepburn,Fred MacMurray,Drama,Romance
Sillu Karuppatti,3.56,Halitha Shameem,234,2019,Samuthirakani,Sunaina,Romance,Drama
¡Three Amigos!,3.27,John Landis,4627,1986,Chevy Chase,Steve Martin,Western,Comedy
What Have You Done to Solange?,3.49,Massimo Dallamano,1792,1972,Fabio Testi,Karin Baal,Thriller,Horror
The Sound Barrier,3.35,David Lean,192,1952,Ralph Richardson,Ann Todd,War,Drama
Road Trip,2.8,Todd Phillips,4055,2000,Breckin Meyer,Seann William Scott,Adventure,Comedy
The Courtyard of the Ballads,3.52,Francisco Ribeiro,29,1942,António Silva,Vasco Santana,Music,Family
By the Bluest of Seas,3.69,Boris Barnet,304,1936,Yelena Kuzmina,Lev Sverdlin,Romance,Drama
Flushed Away,3.11,David Bowers,17125,2006,Hugh Jackman,Kate Winslet,Adventure,Comedy
Madame Rosa,3.55,Moshé Mizrahi,82,1977,Simone Signoret,Michal Bat-Adam,Drama,
Sahara,3.63,Zoltan Korda,436,1943,Humphrey Bogart,Bruce Bennett,Adventure,War
Belle,3.48,Amma Asante,2529,2013,Gugu Mbatha-Raw,Tom Wilkinson,Drama,
Get Real,3.5,Simon Shore,1109,1998,Ben Silverstone,Brad Gorton,Romance,Drama
Medea,3.63,Pier Paolo Pasolini,1147,1969,María Callas,Massimo Girotti,Drama,Fantasy
Pokkiri,3.44,Prabhu Deva,220,2007,Vijay,Asin Thottumkal,Action,Thriller
A Little Thing Called Love,3.56,Puttipong Promsaka Na Sakolnakorn,938,2010,Mario Maurer,Pimchanok Luevisadpaibul,Comedy,Romance
"Toto, Peppino, and the Hussy",3.66,Camillo Mastrocinque,90,1956,Totò,Peppino De Filippo,Comedy,Romance
Shaadi Mein Zaroor Aana,3.1,Ratnaa Sinha,140,2017,Rajkummar Rao,Kriti Kharbanda,Romance,Family
The Happiness of the Katakuris,3.77,Takashi Miike,5948,2001,Kenji Sawada,Keiko Matsuzaka,Comedy,Horror
To Each His Own,3.72,Mitchell Leisen,336,1946,Olivia de Havilland,Mary Anderson,Drama,
Jane Eyre,3.45,Robert Stevenson,734,1943,Orson Welles,Joan Fontaine,Romance,Drama
Pandora and the Flying Dutchman,3.65,Albert Lewin,1304,1951,James Mason,Ava Gardner,Romance,Fantasy
Everyone Says I Love You,3.37,Woody Allen,2199,1996,Drew Barrymore,Edward Norton,Romance,Comedy
Dillinger,3.54,John Milius,659,1973,Warren Oates,Ben Johnson,Action,Drama
Dick Tracy,3.15,Warren Beatty,5668,1990,Warren Beatty,Madonna,Comedy,Adventure
The Wildcat,3.59,Ernst Lubitsch,269,1921,Pola Negri,Victor Janson,Drama,Romance
Under the Shadow,3.5,Babak Anvari,5407,2016,Narges Rashidi,Avin Manshadi,Horror,Drama
The Marquise of O,3.64,Éric Rohmer,433,1976,Edith Clever,Bruno Ganz,History,Drama
The Cheat,2.99,Cecil B. DeMille,766,1915,Fannie Ward,Sessue Hayakawa,Drama,
Robinson Crusoe,3.14,Luis Buñuel,529,1954,Dan O'Herlihy,Jaime Fernández,Adventure,Drama
The Offer,3.94,Dexter Fletcher,2630,2022,Miles Teller,Matthew Goode,Drama,
Fighting Spirit: Champion Road,3.79,Satoshi Nishimura,222,2003,Kohei Kiyasu,Rikiya Koyama,Comedy,Action
Chatrapathi,3.45,S. S. Rajamouli,133,2005,Prabhas,Bhanupriya,Action,Drama
